name,is_male,is_female,is_surname
Akpofure,True,True,False
Akram,True,True,False
Akrom,True,False,False
Aksana,False,True,False
Aksel,True,False,False
Akseli,True,False,False
Akshay,True,False,False
Aksinia,False,True,False
Aksinya,False,True,False
Aku,True,True,False
Akua,False,True,False
Akuchi,True,True,False
Akulina,False,True,False
Akvilė,False,True,False
Al,True,False,False
Ala,True,True,False
Alaa,True,False,False
Ala ad-Din,True,False,False
Ala al-Din,True,False,False
Alaattin,True,False,False
Alaba,True,True,False
Aladdin,True,False,False
Alaia,False,True,False
Alain,True,False,False
Alaina,False,True,False
Alaiya,False,True,False
Alajos,True,False,False
Al-Amir,True,False,False
Alan,True,False,False
Alana,False,True,False
Alani,False,True,False
Alanis,False,True,False
Alanna,False,True,False
Alannah,False,True,False
Alannis,False,True,False
Alaois,True,False,False
Alard,True,False,False
Alareiks,True,False,False
Alaric,True,False,False
Alasdair,True,False,False
Alassane,True,False,False
Alastair,True,False,False
Alastar,True,False,False
Alastor,True,False,False
Alastríona,False,True,False
Alawar,True,False,False
Alaya,False,True,False
Alayah,False,True,False
Alayna,False,True,False
Alazne,False,True,False
Alba,False,True,False
Albaer,True,False,False
Alban,True,False,False
Albana,False,True,False
Albane,False,True,False
Albano,True,False,False
Albanus,True,False,False
Albarīks,True,False,False
Albaweniz,True,False,False
Albena,False,True,False
Alberic,True,False,False
Alberich,True,False,False
Alberico,True,False,False
Albert,True,False,False
Alberta,False,True,False
Albertas,True,False,False
Alberte,True,True,False
Albertina,False,True,False
Albertine,False,True,False
Albertino,True,False,False
Alberto,True,False,False
Alberts,True,False,False
Albertus,True,False,False
Albie,True,False,False
Albin,True,False,False
Albína,False,True,False
Albina,False,True,False
Albinas,True,False,False
Albine,False,True,False
Albino,True,False,False
Albinus,True,False,False
Alboin,True,False,False
Alborz,True,False,False
Albrecht,True,False,False
Albus,True,False,False
Alby,True,False,False
Alcaeus,True,False,False
Alcestis,False,True,False
Alcetas,True,False,False
Alcibiades,True,False,False
Alcide,True,False,False
Alcides,True,False,False
Alcina,False,True,False
Alcinoe,False,True,False
Alcinous,True,False,False
Alcione,False,True,False
Alcippe,False,True,False
Alcmene,False,True,False
Alcyone,False,True,False
Alda,False,True,False
Aldara,False,True,False
Aldebrand,True,False,False
Aldegar,True,False,False
Aldegonda,False,True,False
Aldegund,False,True,False
Aldegundis,False,True,False
Alden,True,False,False
Alder,True,False,False
Aldéric,True,False,False
Aldert,True,False,False
Aldhard,True,False,False
Aldin,True,False,False
Aldina,False,True,False
Aldith,False,True,False
Aldiyar,True,False,False
Aldo,True,False,False
Aldona,False,True,False
Aldous,True,False,False
Aldreda,False,True,False
Aldric,True,False,False
Aldus,True,True,False
Aldwin,True,False,False
Ale,True,True,False
Alea,False,True,False
Aleah,False,True,False
Alease,False,True,False
Alec,True,False,False
Alecia,False,True,False
Aleĉjo,True,False,False
Alecto,False,True,False
Aled,True,False,False
Aleesha,False,True,False
Aleh,True,False,False
Aleid,False,True,False
Aleida,False,True,False
Áleifr,True,False,False
Aleix,True,False,False
Aleixo,True,False,False
Alejandra,False,True,False
Alejandro,True,False,False
Alejna,False,True,False
Alejo,True,False,False
Aleka,False,True,False
Alekos,True,False,False
Aleks,True,True,False
Aleksa,True,False,False
Aleksandar,True,False,False
Aleksandër,True,False,False
Aleksander,True,False,False
Aleksandr,True,False,False
